variables,units,values,description
floatingse.memload4.Px,N/m,"[[  409.95818116]
 [  341.0707546 ]
 [  340.7952049 ]
 [   53.46574872]
 [   62.82899108]
 [   62.83854297]
 [   65.8235093 ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]]",
floatingse.memload4.Py,N/m,"[[    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]]",
floatingse.memload4.Pz,N/m,"[[    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]]",
floatingse.memload4.qdyn,Pa,"[[23873.55936388]
 [19290.45797714]
 [19272.12557159]
 [  156.00968749]
 [  177.4040338 ]
 [  177.42585919]
 [  184.24629604]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]]",
floatingse.memload5.env.wind.U,m/s,[ 0.         15.959627   17.34388305],
floatingse.memload5.env.windLoads.windLoads_Px,N/m,[ 0.         53.46574872 65.8235093 ],
floatingse.memload5.env.windLoads.windLoads_Py,N/m,[0. 0. 0.],
floatingse.memload5.env.windLoads.windLoads_Pz,N/m,[0. 0. 0.],
floatingse.memload5.env.windLoads.windLoads_qdyn,N/m**2,[  0.         156.00968749 184.24629604],
floatingse.memload5.env.windLoads.windLoads_z,m,[ 0.    25.875 51.75 ],
floatingse.memload5.env.windLoads.windLoads_beta,deg,[0.],
floatingse.memload5.env.wave.U,m/s,[1.50264542 0.         0.        ],
floatingse.memload5.env.wave.W,m/s,[-1.50264538  0.          0.        ],
floatingse.memload5.env.wave.V,m/s,[2.1250615 0.        0.       ],
floatingse.memload5.env.wave.A,m/s**2,[0.99908991 0.         0.        ],
floatingse.memload5.env.wave.p,N/m**2,[22716.363445     0.           0.      ],
floatingse.memload5.env.wave.phase_speed,m/s,[14.74885925],
floatingse.memload5.env.waveLoads.waveLoads_Px,N/m,[409.95818116   0.           0.        ],
floatingse.memload5.env.waveLoads.waveLoads_Py,N/m,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_Pz,N/m,[0. 0. 0.],
floatingse.memload5.env.waveLoads.waveLoads_qdyn,N/m**2,[1157.19591888    0.            0.        ],
floatingse.memload5.env.waveLoads.waveLoads_pt,N/m**2,[23873.55936388     0.             0.        ],
floatingse.memload5.env.waveLoads.waveLoads_z,m,[ 0.    25.875 51.75 ],
floatingse.memload5.env.waveLoads.waveLoads_beta,deg,[0.],
floatingse.memload5.env.Px,N/m,[409.95818116  53.46574872  65.8235093 ],
floatingse.memload5.env.Py,N/m,[0. 0. 0.],
floatingse.memload5.env.Pz,N/m,[0. 0. 0.],
floatingse.memload5.env.qdyn,N/m**2,[23873.55936388   156.00968749   184.24629604],
floatingse.memload5.g2e.Px,N/m,"[  204.9791083    170.53539204   170.39761717    26.73287667
    31.41449825    31.4192742     32.91175749 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.memload5.g2e.Py,N/m,"[ -355.03418915  -295.37592946  -295.13729643   -46.30269529
   -54.4115008    -54.41977298   -57.00482957 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.memload5.g2e.Pz,N/m,"[    0.     0.     0.     0.     0.     0.     0. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.memload5.g2e.qdyn,Pa,"[23873.55936388 19290.45797714 19272.12557159   156.00968749
   177.4040338    177.42585919   184.24629604 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
