variables,units,values,description
floatingse.memload2.qdyn,Pa,"[[23873.55936388]
 [22513.30799236]
 [   69.16036225]
 [   81.32023691]
 [   81.67788028]
 [   81.91638855]
 [   90.02566964]
 [   96.46097721]
 [  103.79365863]
 [  109.77773186]
 [  111.90938631]
 [  113.81929062]
 [  113.9197062 ]
 [  113.98139037]
 [  147.90151781]
 [  167.10435711]
 [  167.367815  ]
 [  167.5723505 ]
 [  167.62996614]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]
 [-9999.        ]]",
floatingse.memload3.env.wind.U,m/s,"[ 0.         10.62614122 11.54779811 12.1235591  12.5493948  13.0176432
 13.38764169 13.51699679 13.63786483 15.53936504 16.51736783 16.5303834
 16.54332425]",
floatingse.memload3.env.windLoads.windLoads_Px,N/m,"[   0.          606.11656783  714.74379524  787.81142586  844.57804241
  909.79128923  963.4675305   982.69288675 1000.8759008  1316.53207727
 1502.40473447 1504.99446918 1507.57243645]",
floatingse.memload3.env.windLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.memload3.env.windLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.memload3.env.windLoads.windLoads_qdyn,N/m**2,"[  0.          69.16036225  81.67788028  90.02566964  96.46097721
 103.79365863 109.77773186 111.90938631 113.9197062  147.90151781
 167.10435711 167.367815   167.62996614]",
floatingse.memload3.env.windLoads.windLoads_z,m,"[ 0.      0.875   1.75    2.625   3.5     4.7495  5.999   6.4995  7.
 20.7725 34.545  34.7725 35.    ]",
floatingse.memload3.env.windLoads.windLoads_beta,deg,[0.],
floatingse.memload3.env.wave.U,m/s,"[1.50264542 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",
floatingse.memload3.env.wave.W,m/s,"[-1.50264538  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",
floatingse.memload3.env.wave.V,m/s,"[2.1250615 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.       ]",
floatingse.memload3.env.wave.A,m/s**2,"[0.99908991 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",
floatingse.memload3.env.wave.p,N/m**2,"[22716.363445     0.           0.           0.           0.
     0.           0.           0.           0.           0.
     0.           0.           0.      ]",
floatingse.memload3.env.wave.phase_speed,m/s,[14.74885925],
floatingse.memload3.env.waveLoads.waveLoads_Px,N/m,"[10469.24336122     0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.        ]",
floatingse.memload3.env.waveLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.memload3.env.waveLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.memload3.env.waveLoads.waveLoads_qdyn,N/m**2,"[1157.19591888    0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.        ]",
floatingse.memload3.env.waveLoads.waveLoads_pt,N/m**2,"[23873.55936388     0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.        ]",
floatingse.memload3.env.waveLoads.waveLoads_z,m,"[ 0.      0.875   1.75    2.625   3.5     4.7495  5.999   6.4995  7.
 20.7725 34.545  34.7725 35.    ]",
floatingse.memload3.env.waveLoads.waveLoads_beta,deg,[0.],
floatingse.memload3.env.Px,N/m,"[10469.24336122   606.11656783   714.74379524   787.81142586
   844.57804241   909.79128923   963.4675305    982.69288675
  1000.8759008   1316.53207727  1502.40473447  1504.99446918
  1507.57243645]",
floatingse.memload3.env.Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.memload3.env.Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.memload3.env.qdyn,N/m**2,"[23873.55936388    69.16036225    81.67788028    90.02566964
    96.46097721   103.79365863   109.77773186   111.90938631
   113.9197062    147.90151781   167.10435711   167.367815
   167.62996614]",
floatingse.memload3.g2e.Px,N/m,"[    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.memload3.g2e.Py,N/m,"[    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.memload3.g2e.Pz,N/m,"[-10469.24336122  -9905.63611588   -606.11656783   -711.64016017
   -714.74379524   -716.83144183   -787.81142586   -844.57804241
   -909.79128923   -963.4675305    -982.69288675   -999.96765834
  -1000.8759008   -1001.44888351  -1316.53207727  -1502.40473447
  -1504.99446918  -1507.00585023  -1507.57243645  -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.        ]",
floatingse.memload3.g2e.qdyn,Pa,"[23873.55936388 22513.30799236    69.16036225    81.32023691
    81.67788028    81.91638855    90.02566964    96.46097721
   103.79365863   109.77773186   111.90938631   113.81929062
   113.9197062    113.98139037   147.90151781   167.10435711
   167.367815     167.5723505    167.62996614 -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.memload3.Px,N/m,"[[    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]]",
floatingse.memload3.Py,N/m,"[[    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [    0.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]
 [-9999.]]",
floatingse.memload3.Pz,N/m,"[[-10469.24336122]
 [ -9905.63611588]
 [  -606.11656783]
 [  -711.64016017]
 [  -714.74379524]
 [  -716.83144183]
 [  -787.81142586]
 [  -844.57804241]
 [  -909.79128923]
 [  -963.4675305 ]
 [  -982.69288675]
 [  -999.96765834]
 [ -1000.8759008 ]
 [ -1001.44888351]
 [ -1316.53207727]
 [ -1502.40473447]
 [ -1504.99446918]
 [ -1507.00585023]
 [ -1507.57243645]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]
 [ -9999.        ]]",
