Time [min], Velocity [m/s]
47328,0.73849
47333,0.67571
47339,0.58416
47344,0.49508
47349,0.43029
47354,0.35292
47359,0.28797
47365,0.19483
47370,0.16877
47375,0.054315
47380,0.099918
47385,0.17577
47391,0.27903
47396,0.37085
47401,0.44834
47406,0.53817
47411,0.60527
47417,0.68085
47422,0.74908
47427,0.81065
47432,0.85713
47438,0.92793
47443,0.96795
47448,1.0457
47453,1.1052
47458,1.2241
47464,1.3479
47469,1.4384
47474,1.4967
47479,1.5789
47484,1.657
47490,1.7462
47495,1.6319
47500,1.5947
47505,1.5728
47510,1.5664
47516,1.5805
47521,1.6191
47526,1.6687
47531,1.7081
47536,1.7363
47542,1.7349
47547,1.7878
47552,1.7689
47557,1.7598
47562,1.7752
47568,1.7696
47573,1.7751
47578,1.8332
47583,1.8268
47589,1.7048
47594,1.7237
47599,1.6501
47604,1.5673
47609,1.515
47615,1.4946
47620,1.4766
47625,1.4302
47630,1.4128
47635,1.3223
47641,1.2691
47646,1.2293
47651,1.1724
47656,1.1313
47661,0.97622
47667,0.8162
47672,0.80801
47677,0.85522
47682,0.84638
47687,0.79195
47693,0.78211
47698,0.71538
47703,0.65001
47708,0.58777
47714,0.51008
47719,0.47641
47724,0.37163
47729,0.3041
47734,0.24246
47740,0.18856
47745,0.15891
47750,0.18264
47755,0.13282
47760,0.10342
47766,0.10913
47771,0.16532
47776,0.18918
47781,0.26232
47786,0.4328
47792,0.44014
47797,0.56205
47802,0.74664
47807,0.91542
47812,1.0537
47818,1.2209
47823,1.2855
47828,1.3778
47833,1.4411
47839,1.534
47844,1.6067
47849,1.5921
47854,1.7038
47859,1.7507
47865,1.8254
47870,1.8312
47875,1.8152
47880,1.8847
47885,1.9261
47891,1.9736
47896,1.9258
47901,1.9121
47906,1.9489
47911,1.9941
47917,2.0223
47922,2.0224
47927,1.9878
47932,1.9467
47937,1.9368
47943,1.9305
47948,1.9099
47953,1.9775
47958,1.9427
47964,1.881
47969,1.8866
47974,1.8319
47979,1.8593
47984,1.8876
47990,1.8635
47995,1.8417
48000,1.8173
48005,1.7775
48010,1.7576
48016,1.6858
48021,1.6351
48026,1.5838
48031,1.5839
48036,1.5414
48042,1.5234
48047,1.4875
48052,1.4742
48057,1.4696
48062,1.4181
48068,1.4025
48073,1.3628
48078,1.3159
48083,1.2952
48089,1.2437
48094,1.1839
48099,1.1163
48104,1.0577
48109,1.0093
48115,0.95161
48120,0.86589
48125,0.81264
48130,0.74034
48135,0.69769
48141,0.60748
48146,0.55079
48151,0.49771
48156,0.42039
48161,0.34244
48167,0.2535
48172,0.19934
48177,0.13659
48182,0.024529
48188,0.27871
48193,0.21943
48198,0.30272
48203,0.34793
48208,0.51555
48214,0.6055
48219,0.67254
48224,0.70794
48229,0.77441
48234,0.84954
48240,0.9188
48245,1.0236
48250,1.1457
48255,1.1984
48260,1.2834
48266,1.3264
48271,1.393
48276,1.4461
48281,1.5373
48286,1.5827
48292,1.6648
48297,1.6975
48302,1.6931
48307,1.7426
48312,1.8283
48318,1.8275
48323,1.8108
48328,1.8415
48333,1.9349
48339,1.9619
48344,1.9762
48349,1.9035
48354,1.8826
48359,1.7529
48365,1.6615
48370,1.6657
48375,1.466
48380,1.3712
48385,1.3414
48391,1.4293
48396,1.4441
48401,1.5016
48406,1.5309
48411,1.6291
48417,1.6324
48422,1.5363
48427,1.4391
48432,1.3088
48438,1.3093
48443,1.6185
48448,1.3957
48453,1.5332
48458,1.6183
48464,1.5288
48469,1.2977
48474,1.366
48479,1.3383
48484,1.2792
48490,1.1488
48495,1.1538
48500,1.1349
48505,1.0031
48510,1.2108
48516,1.2484
48521,1.0946
48526,1.0735
48531,1.0109
48536,0.88931
48542,0.82207
48547,0.64226
48552,0.75845
48557,0.74124
48562,0.69348
48568,0.64604
48573,0.58129
48578,0.48548
48583,0.3558
48589,0.34115
48594,0.32497
48599,0.23057
48604,0.15622
48609,0.10105
48615,0.064251
48620,0.063533
48625,0.084399
48630,0.10367
48635,0.17275
48641,0.23444
48646,0.30131
48651,0.40416
48656,0.47186
48661,0.64865
48667,0.86087
48672,0.9243
48677,0.99145
48682,1.0952
48687,1.1867
48693,1.2423
48698,1.32
48703,1.3659
48708,1.4144
48714,1.4796
48719,1.5833
48724,1.636
48729,1.6715
48734,1.6594
48740,1.6169
48745,1.6096
48750,1.6237
48755,1.6795
48760,1.7152
48766,1.6896
48771,1.6945
48776,1.6628
48781,1.6202
48786,1.6148
48792,1.6414
48797,1.5878
48802,1.4418
48807,1.479
48813,1.4991
48818,1.5099
48823,1.5353
48828,1.5604
48833,1.5442
48839,1.5067
48844,1.4679
48849,1.4456
48854,1.4071
48859,1.3772
48865,1.3431
48870,1.301
48875,1.2522
48880,1.1915
48885,1.1647
48891,1.1443
48896,1.0721
48901,1.0154
48906,0.97005
48911,0.91226
48917,0.87239
48922,0.79333
48927,0.7391
48932,0.64799
48938,0.58553
48943,0.52899
48948,0.46661
48953,0.4121
48958,0.13085
48964,0.18554
48969,0.10321
48974,0.070467
48979,0.12698
48984,0.18372
48990,0.21883
48995,0.30127
49000,0.33905
49005,0.41317
49010,0.50576
49016,0.5999
49021,0.71194
49026,0.85962
49031,0.90738
49036,0.95292
49042,0.99538
49047,1.0711
49052,1.1877
49057,1.2494
49062,1.3246
49068,1.3983
49073,1.4641
49078,1.5865
49083,1.6033
49089,1.6876
49094,1.7782
49099,1.8316
49104,1.8575
49109,1.8194
49115,1.774
49120,1.6176
49125,1.4411
49130,1.4503
49135,1.4255
49141,1.4551
49146,1.5325
49151,1.5766
49156,1.5495
49161,1.5282
49167,1.5659
49172,1.5556
49177,1.5516
49182,1.5561
49187,1.5788
49193,1.6018
49198,1.6412
49203,1.6228
49208,1.6061
49214,1.6339
49219,1.6207
49224,1.5846
49229,1.5255
49234,1.4303
49240,1.4081
49245,1.3395
49250,1.3119
49255,1.2521
49260,1.195
49266,1.088
49271,0.93379
49276,0.80927
49281,0.7086
49286,0.64391
49292,0.65092
49297,0.64062
49302,0.5695
49307,0.48813
49312,0.40176
49318,0.30814
49323,0.23121
49328,0.15962
49333,0.22168
49339,0.14085
49344,0.15691
49349,0.24649
49354,0.27295
49359,0.27906
49365,0.4609
49370,0.44285
49375,0.51733
49380,0.60715
49385,0.68792
49391,0.83165
49396,0.99121
49401,1.1144
49406,1.2428
49411,1.3817
49417,1.5314
49422,1.5508
49427,1.6732
49432,1.8066
49437,1.821
49443,1.7826
49448,1.8051
49453,1.7862
49458,1.7855
49464,1.8913
49469,1.9681
49474,1.9987
49479,2.0375
49484,1.9683
49490,1.961
49495,1.915
49500,1.972
49505,1.9709
49510,1.9441
49516,1.8599
49521,1.7737
49526,1.8809
49531,1.8059
49536,1.8559
49542,1.932
49547,1.9492
49552,1.934
49557,1.9233
49562,1.8501
49568,1.8866
49573,1.8464
49578,1.7721
49583,1.7493
49589,1.758
49594,1.736
49599,1.7111
49604,1.6855
49609,1.6441
49615,1.6238
49620,1.5974
49625,1.5603
49630,1.5585
49635,1.4776
49641,1.4603
49646,1.4536
49651,1.3703
49656,1.3096
49661,1.2865
49667,1.22
49672,1.152
49677,1.0934
49682,1.0541
49688,1.0003
49693,0.88438
49698,0.82392
49703,0.7672
49708,0.6995
49714,0.63269
49719,0.57624
49724,0.51304
49729,0.4191
49734,0.35204
49740,0.29053
49745,0.16862
49750,0.088173
49755,0.0050274
49760,0.25276
49766,0.25815
49771,0.40112
49776,0.43001
49781,0.58589
49786,0.67579
49792,0.74064
49797,0.87728
49802,0.9369
49807,1.0258
49812,1.1511
49818,1.2545
49823,1.3103
49828,1.3856
49833,1.4575
49839,1.517
49844,1.5599
49849,1.6252
49854,1.7258
49859,1.7892
49865,1.8258
49870,1.8158
49875,1.82
49880,1.8548
49885,1.8576
49891,1.9041
49896,1.8881
49901,2.0205
49906,1.9292
49911,1.7969
49917,1.7715
49922,1.7317
49927,1.632
49932,1.7703
49937,1.8723
49943,1.8605
49948,1.8215
49953,1.8545
49958,1.8575
49964,1.6623
49969,1.4853
49974,1.7389
49979,1.6233
49984,1.4934
49990,1.4492
49995,1.6391
50000,1.5519
50005,1.4644
50010,1.3357
50016,1.5291
50021,1.7485
50026,1.5631
50031,1.6499
50036,1.6277
50042,1.6581
50047,1.636
50052,1.6067
50057,1.5739
50062,1.5629
50068,1.5072
50073,1.4057
50078,1.3359
50083,1.2927
50089,1.2035
50094,1.1441
50099,1.0213
50104,1.0533
50109,1.0182
50115,0.8814
50120,0.861
50125,0.82691
50130,0.75801
50135,0.70397
50141,0.66761
50146,0.61981
50151,0.51901
50156,0.44249
50161,0.36157
50167,0.29502
50172,0.23341
50177,0.22617
50182,0.15187
50187,0.061759
50193,0.077571
50198,0.049997
50203,0.11093
50208,0.18581
50214,0.22211
50219,0.44566
50224,0.55351
50229,0.48903
50234,0.60485
50240,0.7766
50245,0.99627
50250,1.0839
50255,1.2146
50260,1.2679
50266,1.3592
50271,1.4204
50276,1.47
50281,1.5099
50286,1.6088
50292,1.6651
50297,1.7218
50302,1.686
50307,1.8592
50312,1.7919
50318,1.6994
50323,1.7422
50328,1.7422
50333,1.7814
50339,1.7796
50344,1.8259
50349,1.806
50354,1.7869
50359,1.7653
50365,1.7487
50370,1.7206
50375,1.6786
50380,1.6766
50385,1.6279
50391,1.5927
50396,1.5532
50401,1.5025
50406,1.4594
50411,1.431
50417,1.3922
50422,1.4166
50427,1.3674
50432,1.3735
50438,1.3258
50443,1.2954
50448,1.2497
50453,1.2103
50458,1.1633
50464,1.1386
50469,1.0708
50474,1.0269
50479,0.96969
50484,0.92722
50490,0.85363
50495,0.78718
50500,0.70992
50505,0.64766
50510,0.58391
50516,0.49679
50521,0.42271
50526,0.35308
50531,0.27268
50536,0.23645
50542,0.043252
50547,0.10765
50552,0.21683
50557,0.33766
50562,0.44643
50568,0.57854
50573,0.65369
50578,0.68337
50583,0.72387
50589,0.72539
50594,0.7836
50599,0.92657
50604,1.0159
50609,1.1413
50615,1.208
50620,1.2734
50625,1.3147
50630,1.398
50635,1.4593
50641,1.5401
50646,1.6156
50651,1.7158
50656,1.8068
50661,1.8606
50667,1.8668
50672,1.6747
50677,1.6455
50682,1.6051
50687,1.5527
50693,1.5274
50698,1.562
50703,1.6349
50708,1.6481
50714,1.645
50719,1.6623
50724,1.7046
50729,1.7542
50734,1.7604
50740,1.7687
50745,1.7724
50750,1.7507
50755,1.7762
50760,1.7509
50766,1.6616
50771,1.4814
50776,1.4563
50781,1.4723
50786,1.2739
50792,1.0171
50797,1.1017
50802,1.29
50807,1.1379
50812,1.2337
50818,1.2552
50823,1.2471
50828,1.2033
50833,1.167
50839,1.1059
50844,1.0432
50849,0.96912
50854,0.89907
50859,0.8055
50865,0.71535
50870,0.62675
50875,0.51797
50880,0.42124
50885,0.30993
50891,0.30524
50896,0.30486
50901,0.085073
50906,0.017735
50911,0.17577
50917,0.20734
50922,0.3173
50927,0.34311
50932,0.51032
50937,0.63163
50943,0.78741
50948,0.93051
50953,1.0443
50958,1.1675
50964,1.3469
50969,1.4709
50974,1.5281
50979,1.586
50984,1.6566
50990,1.7626
50995,1.8519
51000,1.9009
51005,1.9071
51010,2.0138
51016,2.0323
51021,2.0562
51026,2.0279
51031,1.9376
51036,1.9634
51042,1.987
51047,2.0111
51052,2.0578
51057,2.0546
51062,2.0771
51068,2.0496
51073,1.9674
51078,2.0366
51083,2.0736
51089,2.0235
51094,2.0026
51099,2.0393
51104,2.0257
51109,2.0625
51115,1.9907
51120,1.9511
51125,1.9298
51130,1.9237
51135,1.8771
51141,1.8595
51146,1.846
51151,1.8136
51156,1.7893
51161,1.8005
51167,1.769
51172,1.7297
51177,1.6799
51182,1.6793
51188,1.6594
51193,1.596
51198,1.5827
51203,1.537
51208,1.4734
51214,1.4407
51219,1.3774
51224,1.3299
51229,1.2724
51234,1.2167
51240,1.1523
51245,1.0741
51250,1.0314
51255,0.97589
51260,0.9072
51266,0.83893
51271,0.77238
51276,0.67129
51281,0.63113
51286,0.54539
51292,0.46473
51297,0.37136
51302,0.27901
51307,0.18952
51312,0.084997
51318,0.054199
51323,0.15578
51328,0.23315
51333,0.32759
51339,0.45644
51344,0.56879
51349,0.64019
51354,0.75056
51359,0.87586
51365,0.96956
51370,1.0659
51375,1.1961
51380,1.2855
51385,1.3618
51391,1.4528
51396,1.5652
51401,1.6613
51406,1.7455
51411,1.7952
51417,1.8351
51422,1.9798
51427,2.0571
51432,2.0698
51437,2.115
51443,2.0513
51448,1.9951
51453,1.9903
51458,1.7577
51464,1.58
51469,1.7625
51474,1.758
51479,1.622
51484,1.8295
51490,1.9909
51495,2.0142
51500,2.0682
51505,2.1635
51510,2.2112
51516,2.3129
51521,2.2417
51526,1.971
51531,1.6728
51536,1.8401
51542,1.9606
51547,2.0477
51552,2.0577
51557,2.0048
51562,2.1794
51568,2.0478
51573,1.9806
51578,1.8001
51583,1.6693
51589,1.7369
51594,1.7414
51599,1.7122
51604,1.665
51609,1.6331
51615,1.6029
51620,1.5492
51625,1.5355
51630,1.5116
51635,1.4335
51641,1.388
51646,1.3059
51651,1.2499
51656,1.2116
51661,1.1646
51667,1.1613
51672,1.0209
51677,0.9296
51682,0.82586
51687,0.71653
51693,0.54029
51698,0.33761
51703,0.34679
51708,0.40412
51714,0.3829
51719,0.37072
51724,0.33954
51729,0.23802
51734,0.19256
51740,0.16466
51745,0.12618
51750,0.02357
51755,0.06379
51760,0.13518
51766,0.17994
51771,0.23763
51776,0.38697
51781,0.55354
51786,0.62057
51792,0.66863
51797,0.87736
51802,1.1666
51807,1.3165
51812,1.4204
51818,1.527
51823,1.5972
51828,1.5989
51833,1.6861
51839,1.8152
51844,1.8724
51849,1.8714
51854,1.9281
51859,1.9524
51865,1.9736
51870,2.0136
51875,2.007
51880,2.0315
51885,2.0174
51891,2.0286
51896,1.9865
51901,1.9645
51906,1.9381
51911,1.9179
51917,1.8885
51922,1.8405
51927,1.8631
51932,1.758
51938,1.7902
51943,1.7989
51948,1.7706
51953,1.7654
51958,1.7358
51964,1.7027
51969,1.6447
51974,1.5941
51979,1.5063
51984,1.52
51990,1.4398
51995,1.4079
52000,1.3631
52005,1.3129
52010,1.2687
52016,1.2439
52021,1.1718
52026,1.1247
52031,1.0651
52036,1.0012
52042,0.91565
52047,0.86463
52052,0.77888
52057,0.70111
52062,0.63552
52068,0.54852
52073,0.45786
52078,0.37336
52083,0.29217
52089,0.13686
52094,0.095742
52099,0.066252
52104,0.24202
52109,0.31737
52115,0.41568
52120,0.51505
52125,0.58602
52130,0.6661
52135,0.74333
52141,0.79752
52146,0.89572
52151,0.99487
52156,1.1113
52161,1.2328
52167,1.3062
52172,1.3433
52177,1.3948
52182,1.472
52187,1.6258
52193,1.7225
52198,1.6834
52203,1.6366
52208,1.6519
52214,1.7419
52219,1.7449
52224,1.7617
52229,1.8044
52234,1.8455
52240,1.9
52245,1.992
52250,2.0102
52255,1.9386
52260,1.9413
52266,1.9116
52271,1.8533
52276,1.8967
52281,1.7837
52286,1.7255
52292,1.6717
52297,1.6551
52302,1.4619
52307,1.4349
52312,1.6216
52318,1.632
52323,1.5906
52328,1.4006
52333,1.5047
52339,1.5042
52344,1.4774
52349,1.4048
52354,1.4381
52359,1.412
52365,1.3922
52370,1.3482
52375,1.3108
52380,1.2435
52385,1.1594
52391,1.07
52396,0.96819
52401,0.86673
52406,0.77074
52411,0.69295
52417,0.60173
52422,0.50649
52427,0.31784
52432,0.20191
52437,0.028855
52443,0.13551
52448,0.11735
52453,0.054862
52458,0.065353
52464,0.10855
52469,0.22136
52474,0.35468
52479,0.4469
52484,0.57948
52490,0.7156
52495,0.94921
52500,1.1798
52505,1.3152
52510,1.4454
52516,1.5474
52521,1.6655
52526,1.6834
52531,1.8031
52536,1.8901
52542,1.932
52547,2.0154
52552,2.0826
52557,2.1332
52562,2.1641
52568,2.1953
52573,2.187
52578,2.1592
52583,2.1316
52589,2.1731
52594,2.1805
52599,2.2375
52604,2.25
52609,2.1745
52615,2.158
52620,2.1543
52625,2.1076
52630,2.1702
52635,2.2089
52641,2.2687
52646,2.1965
52651,2.2
52656,2.1729
52661,2.1164
52667,2.1055
52672,2.0789
52677,2.0568
52682,2.0331
52688,2.0348
52693,2.0503
52698,1.9866
52703,2.0299
52708,1.9963
52714,1.9217
52719,1.8933
52724,1.8727
52729,1.8624
52734,1.8152
52740,1.7706
52745,1.7438
52750,1.6707
52755,1.6177
52760,1.5451
52766,1.5541
52771,1.4408
52776,1.4268
52781,1.3859
52786,1.3389
52792,1.258
52797,1.2035
52802,1.13
52807,1.0948
52812,0.98528
52818,0.92608
52823,0.81479
52828,0.75677
52833,0.66785
52839,0.55396
52844,0.47445
52849,0.38295
52854,0.26481
52859,0.14939
52865,0.032159
52870,0.10491
52875,0.23421
52880,0.39243
52885,0.51474
52891,0.64869
52896,0.80376
52901,0.90927
52906,1.0509
52911,1.1708
52917,1.3003
52922,1.4046
52927,1.4866
52932,1.5305
52937,1.6071
52943,1.6801
52948,1.6039
52953,1.7563
52958,1.9762
52964,2.0491
52969,2.129
52974,2.2394
52979,2.2028
52984,2.1518
52990,2.0846
52995,2.0293
53000,1.8109
53005,1.6144
53010,1.6643
53016,1.734
53021,1.8406
53026,1.9537
53031,2.0815
53036,2.1364
53042,2.0968
53047,2.2212
53052,2.3048
53057,2.2706
53062,2.3127
53068,2.2929
53073,2.3279
53078,2.2904
53083,2.3012
53089,2.2077
53094,2.2278
53099,2.1238
53104,1.9981
53109,1.909
53115,1.8965
53120,1.8261
53125,1.6821
53130,1.6099
53135,1.478
53141,1.688
53146,1.8141
53151,1.8502
53156,1.8703
53161,1.7962
53167,1.7338
53172,1.7501
53177,1.6566
53182,1.5437
53187,1.4356
53193,1.4866
53198,1.5022
53203,1.5235
53208,1.4554
53214,1.3118
53219,1.2581
53224,1.11
53229,1.1403
53234,0.9382
53240,0.85706
53245,0.74866
53250,0.64954
53255,0.59954
53260,0.58434
53266,0.51752
53271,0.46329
53276,0.43116
53281,0.36815
53286,0.28443
53292,0.18919
53297,0.11481
53302,0.074179
53307,0.17381
53312,0.32489
53318,0.45679
53323,0.61265
53328,0.67784
53333,0.86546
53339,1.0656
53344,1.2955
53349,1.4019
53354,1.5564
53359,1.6571
53365,1.6736
53370,1.8124
53375,1.8899
53380,1.8995
53385,1.9899
53391,2.0287
53396,2.1217
53401,2.1434
53406,2.2112
53411,2.2388
53417,2.2649
53422,2.1782
53427,2.1961
53432,2.1143
53438,2.1159
53443,2.1565
53448,2.0115
53453,2.1052
53458,2.1172
53464,2.0648
53469,2.0201
53474,2.0686
53479,2.0476
53484,2.0911
53490,2.0545
53495,1.8962
53500,1.9325
53505,1.7811
53510,1.7755
53516,1.7429
53521,1.7109
53526,1.6769
53531,1.6402
53536,1.595
53542,1.5301
53547,1.4982
53552,1.4287
53557,1.3586
53562,1.2821
53568,1.2299
53573,1.1598
53578,1.0827
53583,1.0232
53589,0.94903
53594,0.88108
53599,0.79067
53604,0.7192
53609,0.62823
53615,0.50918
53620,0.43655
53625,0.33892
53630,0.2953
53635,0.15905
53641,0.091716
53646,0.27642
53651,0.47262
53656,0.51834
53661,0.62289
53667,0.68949
53672,0.81044
53677,0.94246
53682,1.0459
53687,1.2022
53693,1.3451
53698,1.3823
53703,1.4397
53708,1.4924
53714,1.5593
53719,1.645
53724,1.7732
53729,1.7977
53734,1.7564
53740,1.8525
53745,1.9276
53750,1.9746
53755,2.0501
53760,2.0542
53766,2.0823
53771,2.1028
53776,2.1788
53781,2.1963
53786,2.1602
53792,2.1069
53797,2.0821
53802,2.0415
53807,1.9569
53812,1.8652
53818,1.8344
53823,1.896
53828,1.9704
53833,1.9317
53839,1.6598
53844,1.5578
53849,1.5735
53854,1.5617
53859,1.5023
53865,1.4811
53870,1.4959
53875,1.4531
53880,1.3834
53885,1.3596
53891,1.3406
53896,1.1625
53901,1.1818
53906,1.255
53911,1.3824
53917,1.2737
53922,1.1676
53927,1.226
53932,1.2653
53937,1.1417
53943,1.1432
53948,0.98333
53953,0.92464
53958,0.77251
53964,0.6462
53969,0.51322
53974,0.44986
53979,0.36248
53984,0.27452
53990,0.28556
53995,0.18598
54000,0.080063
54005,0.081469
54010,0.21266
54016,0.32917
54021,0.68865
54026,0.64915
54031,0.68655
54036,0.91702
54042,1.1704
54047,1.4156
54052,1.585
54057,1.7343
54062,1.772
54068,1.7946
54073,1.8707
54078,2.0134
54083,2.1344
54089,2.1732
54094,2.2248
54099,2.2957
54104,2.341
54109,2.357
54115,2.3974
54120,2.3254
54125,2.3087
54130,2.3372
54135,2.3376
54141,2.3803
54146,2.3268
54151,2.3477
54156,2.2907
54161,2.1837
54167,2.3021
54172,2.3059
54177,2.346
54182,2.3744
54188,2.3484
54193,2.364
54198,2.3008
54203,2.2921
54208,2.3439
54214,2.2593
54219,2.2194
54224,2.2562
54229,2.0971
54234,2.2062
54240,2.1385
54245,2.1071
54250,2.0983
54255,2.0934
54260,1.9785
54266,2.0063
54271,2.033
54276,1.9853
54281,1.8686
54286,1.8421
54292,1.8551
54297,1.7532
54302,1.7729
54307,1.7527
54313,1.657
54318,1.5862
54323,1.5768
54328,1.4617
54333,1.441
54339,1.3359
54344,1.2884
54349,1.2251
54354,1.1373
54359,1.0441
54365,0.97482
54370,0.87409
54375,0.78504
54380,0.66594
54385,0.5637
54391,0.45331
54396,0.34676
54401,0.21715
54406,0.099141
54411,0.045681
54417,0.16116
54422,0.30117
54427,0.50819
54432,0.67455
54437,0.81551
54443,0.94429
54448,1.101
54453,1.2791
54458,1.3968
54464,1.5462
54469,1.6312
54474,1.7827
54479,1.8183
54484,1.8482
54490,1.8715
54495,1.7352
54500,1.9712
54505,2.1126
54510,2.24
54516,2.3218
54521,2.4327
54526,2.4925
54531,2.53
54536,2.3783
54542,2.3427
54547,1.9714
54552,1.9403
54557,2.3485
54562,2.4227
54568,2.5633
54573,2.5854
54578,2.5483
54583,2.6245
54589,2.6297
54594,2.5879
54599,2.6643
54604,2.6283
54609,2.6168
54615,2.5405
54620,2.5911
54625,2.5142
54630,2.4389
54635,2.3228
54641,2.2397
54646,1.9021
54651,2.0643
54656,2.1613
54661,2.1109
54667,2.2029
54672,2.1767
54677,2.2323
54682,2.0727
54687,1.894
54693,1.8269
54698,2.063
54703,2.0041
54708,1.8876
54714,1.7933
54719,1.7405
54724,1.6448
54729,1.4752
54734,1.5135
54740,1.4539
54745,1.3854
54750,1.4142
54755,1.3676
54760,1.2807
54766,1.1315
54771,1.0977
54776,0.94407
54781,0.81296
54786,0.72477
54792,0.56769
54797,0.54433
54802,0.43881
54807,0.39156
54812,0.43472
54818,0.32211
54823,0.21362
54828,0.11
54833,0.042218
54839,0.17619
54844,0.27164
54849,0.4853
54854,0.77575
54859,0.6657
54865,0.8463
54870,1.1191
54875,1.2993
54880,1.451
54885,1.6157
54891,1.836
54896,1.7589
54901,1.9107
54906,1.9881
54911,2.0546
54917,2.09
54922,2.0931
54927,2.1693
54932,2.2862
54938,2.2883
54943,2.3357
54948,2.3613
54953,2.2779
54958,2.3759
54964,2.3849
54969,2.3537
54974,2.3566
54979,2.3069
54984,2.338
54990,2.3779
54995,2.372
55000,2.2803
55005,2.2385
55010,2.3366
55016,2.2347
55021,2.1908
55026,2.1196
55031,2.0608
55036,2.009
55042,2.0091
55047,1.9724
55052,1.9746
55057,1.8823
55062,1.9052
55068,1.8152
55073,1.7875
55078,1.6827
55083,1.6605
55089,1.5886
55094,1.5215
55099,1.4429
55104,1.4032
55109,1.3471
55115,1.215
55120,1.126
55125,1.0791
55130,0.98978
55135,0.88144
55141,0.78509
55146,0.66725
55151,0.5914
55156,0.47072
55161,0.36105
55167,0.25563
55172,0.10106
55177,0.048429
55182,0.32484
55187,0.43881
55193,0.55906
55198,0.68774
55203,0.73678
55208,0.86223
55214,1.0117
55219,1.1946
55224,1.3599
55229,1.4274
55234,1.5157
55240,1.5962
55245,1.6879
55250,1.7804
55255,1.8376
55260,1.8939
55266,2.0775
55271,2.0856
55276,2.1252
55281,2.2181
55286,2.2899
55292,2.1917
55297,2.1758
55302,2.1621
55307,2.0374
55312,1.9703
55318,2.0409
55323,1.9469
55328,1.8277
55333,1.7107
55339,1.9144
55344,2.0296
55349,1.8768
55354,1.8768
55359,1.8156
55365,1.7554
55370,1.5956
55375,1.8322
55380,1.847
55385,1.7571
55391,1.7302
55396,1.9588
55401,1.8768
55406,1.5724
55411,1.5889
55417,1.7697
55422,1.878
55427,1.8597
55432,1.8449
55437,1.7788
55443,1.6504
55448,1.6561
55453,1.651
55458,1.4383
55464,1.304
55469,1.4195
55474,1.3346
55479,1.2127
55484,1.1017
55490,1.0053
55495,0.92516
55500,0.78797
55505,0.70395
55510,0.5764
55516,0.4883
55521,0.38575
55526,0.28384
55531,0.16693
55536,0.1568
55542,0.042356
55547,0.26752
55552,0.47872
55557,0.59304
55562,0.80067
55568,0.84038
55573,0.90314
55578,1.1269
55583,1.4187
55589,1.7125
55594,1.8293
55599,1.9043
55604,1.9063
55609,1.9797
55615,2.1062
55620,2.1838
55625,2.2512
55630,2.323
55635,2.3539
55641,2.4538
55646,2.3928
55651,2.3538
55656,2.4208
55661,2.4235
55667,2.4532
55672,2.4893
55677,2.6037
55682,2.7
55688,2.5229
55693,2.5088
55698,2.4737
55703,2.4014
55708,2.3724
55714,2.429
55719,2.3826
55724,2.4278
55729,2.3619
55734,2.4179
55740,2.435
55745,2.4291
55750,2.3934
55755,2.4002
55760,2.3033
55766,2.2746
55771,2.2674
55776,2.2298
55781,2.2247
55786,2.1858
55792,2.1772
55797,2.1591
55802,2.1686
55807,2.1553
55812,2.051
55818,1.999
55823,2.0571
55828,2.013
55833,1.9345
55839,1.9067
55844,1.87
55849,1.8024
55854,1.7616
55859,1.725
55865,1.6968
55870,1.6122
55875,1.5317
55880,1.4625
55885,1.3826
55891,1.2989
55896,1.21
55901,1.106
55906,1.003
55911,0.90575
55917,0.79682
55922,0.68405
55927,0.57876
55932,0.44573
55937,0.30643
55943,0.15694
55948,0.032354
55953,0.099746
55958,0.23335
55964,0.4234
55969,0.62525
55974,0.81044
55979,0.94932
55984,1.1482
55990,1.3041
55995,1.4738
56000,1.6165
56005,1.7403
56010,1.8284
56016,1.8632
56021,1.9272
56026,2.0317
56031,2.0671
56036,1.7943
56042,1.9333
56047,2.2034
56052,2.1556
56057,2.0132
56063,2.1835
56068,2.2605
56073,2.2607
56078,2.0986
56083,2.1569
56089,2.4196
56094,2.5765
56099,2.6687
56104,2.7189
56109,2.8082
56115,2.7281
56120,2.7144
56125,2.671
56130,2.7544
56135,2.7588
56141,2.7954
56146,2.7235
56151,2.6655
56156,2.6276
56161,2.6933
56167,2.4976
56172,2.4402
56177,2.2376
56182,2.1827
56187,2.3293
56193,2.3933
56198,2.4857
56203,2.4374
56208,2.3384
56214,2.0848
56219,2.0924
56224,2.0498
56229,1.9684
56234,1.8348
56240,1.7607
56245,1.5128
56250,1.3646
56255,1.2376
56260,1.4393
56266,1.4031
56271,1.4241
56276,1.3906
56281,1.4133
56286,1.3116
56292,1.1958
56297,1.135
56302,1.0537
56307,0.99852
56312,0.93292
56318,0.85945
56323,0.82467
56328,0.66466
56333,0.55313
56339,0.45888
56344,0.45274
56349,0.36477
56354,0.25432
56359,0.14899
56365,0.047606
56370,0.12999
56375,0.22034
56380,0.40839
56385,0.61774
56391,0.87991
56396,0.9186
56401,1.1032
56406,1.3983
56411,1.5984
56417,1.8005
56422,1.9052
56427,1.9548
56432,1.9613
56438,2.0524
56443,2.1983
56448,2.2279
56453,2.3068
56458,2.3668
56464,2.383
56469,2.4229
56474,2.3897
56479,2.4377
56484,2.4885
56490,2.5063
56495,2.4783
56500,2.4441
56505,2.4555
